industry	workflow	lifecycle_stage	objective	trigger	actors	economic_buyer	systems_of_record	manual_tools	decisions	handoffs	customer_interactions	exceptions	recovery_loops	manual_work	spreadsheet_usage	email_usage	money_lost	time_lost	judgment	customer_evidence	incumbent_products	economics	candidate_status	gate_workflow_coverage	gate_customer_evidence	gate_frequency	gate_buyer	gate_bottom_up_economics	gate_incumbent_boundary	gate_timing	gate_competitive_stress	gate_kill_test	worker_role_signal
Construction	Market development and bid intake	Commercial	Win qualified work invitations	RFP; ITB; referral	BD lead; estimator; principal	Owner; preconstruction lead	CRM; bid board	Email; shared drive; phone	Bid or no-bid	BD to estimating	GC bid desk; owners	Missing bid docs; late addenda	Request clarifications; revise scope	Medium	Medium	High	Medium	Medium	High	Low	BuildingConnected; SmartBid; CRM	Pursuit waste; bad project mix	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Estimating coordinator
Construction	Estimating and proposal management	Commercial	Price scope accurately	Qualified bid invitation	Estimator; precon lead; suppliers	Owner; preconstruction lead	Estimating tools; spreadsheets	Email; Excel; PDF markup	Price assumptions; exclusions	Estimating to PM/exec	GC scope clarifications	Scope mismatch; stale pricing	Reprice; restate assumptions	High	High	High	Medium	High	High	Medium	Estimating tools; ERP	Margin leakage; rebid labor	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Estimator
Construction	Contract review and project setup	Commercial	Load billing and compliance rules	Award notice	PM; project accountant; controller	Controller; principal	ERP; project management system	Checklists; PDFs; email	SOV setup; billing rules; compliance path	Precon to project team	GC admin; surety; owner	Misread terms; bad SOV setup	Correct setup; restage billing file	High	Medium	High	Medium	High	High	Medium	ERP; Procore; ACC	First-bill delay; rework	Support-W001	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Project accountant
Construction	Project scheduling and resource planning	Planning	Set plan for crews and billing cadence	Contracted project start	PM; superintendent; scheduler	Operations head; principal	Scheduling system; PM suite	Whiteboards; phone; Excel	Crew sequence; milestone dates	PM to field team	GC schedule meetings	Sequence slippage; labor conflict	Resequence crews; revise plan	Medium	Medium	High	Medium	High	High	Low	Primavera; MS Project; Procore	Idle labor; delay risk	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Scheduler
Construction	Subcontractor and vendor onboarding and compliance	Supplier / Partner	Make counterparties billable and compliant	Vendor award; project mobilization	Project engineer; AP/AR admin; PM	Controller; PM	ERP; PM suite; compliance tool	Email; checklists; PDF exchange	Approve vendor; accept docs	PM to AP/AR; vendor to project	Vendors; insurers; GC	Expired COI; missing docs	Chase insurer; replace vendor; resubmit	High	Low	High	Low	Medium	Medium	Medium	ERP; PM suites	Mobilization delay; pay hold	Support-W001	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Vendor coordinator
Construction	Labor time capture and cost coding	Workforce	Record cost and progress daily	Daily field work	Foreman; payroll admin; superintendent	Controller; operations lead	ERP; timekeeping	Paper; text; Excel	Cost code choice; approve hours	Field to payroll; field to PM	Crew questions	Late timecards; bad coding	Correct codes; chase crews	Medium	Medium	Medium	Medium	Medium	Medium	Low	Timekeeping; ERP	WIP error; payroll rework	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Payroll admin
Construction	Field execution and daily production	Operational	Deliver scoped work safely	Daily production plan	Superintendent; foreman; field engineer	Operations head; PM	PM suite; field app	Phone; notebook; WhatsApp	Sequence work; flag blockers	Field to office; trade to trade	GC; owner rep; inspectors	Missing context; site conflicts	Escalate constraint; resequence work	High	Low	High	Medium	High	High	Medium	Procore; ACC; field apps	Productivity loss; schedule slip	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Field engineer
Construction	Safety, quality, and inspection management	Operational	Pass inspections and avoid defects	Inspection due; quality issue	Safety manager; QA lead; superintendent	Operations head; principal	PM suite; inspection tools	Photos; PDF forms; email	Accept work; remediate defect	Field to QA; QA to PM	Inspectors; owner rep	Failed inspection; missing proof	Gather evidence; repair; reinspect	High	Low	Medium	Medium	High	High	Medium	PM suites; inspection apps	Rework; delay; risk	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	QA coordinator
Construction	Change-order and cost-to-complete reconciliation	Recovery	Protect margin on scope drift	Field change; disputed extra	PM; estimator; project accountant	Controller; PM	ERP; PM suite	Excel; email; change logs	Price change; escalate dispute	Field to PM to billing	GC PM; architect	Unsigned CO; stale budget	Restitch logs; reprice; negotiate	High	High	High	High	High	High	High	ERP; Procore; ACC	Margin leakage; billing delay	Support-W001	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Project accountant
Construction	Progress billing, SOV, and pay application preparation	Financial	Submit clean draw package	Billing cycle close	Project accountant; billing specialist	Controller; CFO	GCPay; Textura; Procore; ERP	Excel; PDF packs; email	SOV mapping; backup package	PM to billing; billing to portal	GC AP; owner; lender	SOV mismatch; missing backup; rejection	Compare versions; rebuild package; resubmit	High	High	High	High	High	High	High	GCPay; Textura; Procore	Delayed cash; draw labor	Support-W001	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Project accountant
Construction	Collections, waiver, and payment dispute recovery	Financial / Recovery	Unblock cash after submission fails	Rejected pay app; waiver hold	AR lead; project accountant; controller	CFO; controller	GCPay; Textura; ERP	Excel; email; phone; PDF tracking	Escalate; accept deduction; resubmit	Billing to AR to GC AP	GC AP; owner; lender; surety	Payment hold; short pay; waiver issue	Diagnose cause; gather proof; resubmit	High	High	High	High	High	High	High	GCPay; Textura; Procore	DSO; financing cost; labor	GREEN-W001	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Project accountant; AR specialist
Construction	Punchlist, closeout, and retainage release	Closeout	Close project and release retainage	Substantial completion	PM; project engineer; accountant	Controller; PM	PM suite; ERP	PDF logs; email; Excel	Close or keep pursuing retainage	Field to closeout; closeout to billing	Owner; GC; inspectors	Missing closeout docs; punch items	Collect docs; clear items; rebill	High	Medium	High	High	High	High	Medium	PM suites; ERP	Retainage delay; closeout labor	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Closeout coordinator
Housing	Unit marketing and lead management	Commercial	Fill units quickly	Upcoming vacancy; available unit	Leasing agent; community manager	Property manager; asset manager	PMS; CRM	Email; listing sites; spreadsheets	Set pricing; open applications	Leasing to screening	Prospects; listing channels	Stale availability; missed follow-up	Update listings; reassign lead	Medium	Medium	High	Medium	Medium	Medium	Low	Yardi; Entrata; AppFolio	Vacancy days from poor follow-up	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leasing coordinator
Housing	Applicant screening and lease execution	Commercial	Convert qualified applicants	Application received	Leasing agent; assistant manager	Property manager	PMS; screening tools	Email; PDF exchange	Approve; deny; request docs	Leasing to accounting/resident	Applicants; screening vendors	Missing docs; screening delays	Chase docs; rerun screening	Medium	Low	High	Medium	Medium	High	Medium	Entrata; AppFolio; Yardi	Delay to occupancy	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Leasing specialist
Housing	Move-in onboarding and account setup	Commercial / Onboarding	Start tenancy cleanly	Approved lease	Leasing admin; property manager	Property manager	PMS	Email; checklists; PDF forms	Assign unit; set accounts	Leasing to ops/resident	Residents; utilities	Missing utilities; bad setup	Correct account; resend info	Medium	Low	Medium	Low	Medium	Medium	Low	PMS suites	Resident friction; first-month errors	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Resident services coordinator
Housing	Rent billing and cash application	Financial	Post charges and receipts	Rent cycle; payment receipt	Property accountant; manager	Property manager; regional ops	PMS; accounting	Spreadsheet checks; email	Apply cash; waive fees	Ops to accounting	Residents; processors	Posting errors; unapplied cash	Research ledger; reapply receipts	Medium	Medium	Medium	Medium	Medium	Medium	Medium	PMS; accounting suites	Cash application labor; resident disputes	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Property accountant
Housing	Delinquency, collections, and move-out notices	Financial / Recovery	Recover rent or exit delinquent resident	Overdue balance	Property manager; collections specialist	Property manager; regional ops	PMS; collections tools	Phone; email; letter templates	Offer plan; escalate legal	Ops to legal/accounting	Residents; counsel	Broken plans; notice timing gaps	Reset notices; renegotiate; escalate	High	Low	High	High	High	High	Medium	PMS; collections modules	Bad debt; delay	None	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Collections specialist
Housing	Maintenance intake and triage	Operational	Route work correctly	Service request	Coordinator; resident services	Property manager	PMS; maintenance platform	Phone; text; email	Priority; internal vs vendor	Intake to dispatch	Residents; call centers	Wrong priority; duplicate request	Retriage; reassign vendor	High	Low	Medium	Low	Medium	High	Medium	AppFolio; Entrata; Yardi	Resident dissatisfaction; delay	Support-W002	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Maintenance coordinator
Housing	Vendor onboarding and compliance	Supplier / Partner	Keep vendors ready and compliant	New vendor; expiring COI	Coordinator; AP admin	Property manager	PMS; AP system	Email; PDF files; checklists	Approve vendor; accept COI	Ops to AP/vendor	Vendors; insurers	Missing COI; slow approval	Chase insurer; swap vendor	High	Low	High	Low	Medium	Medium	Medium	PMS; AP tools	Delay to dispatch; turn slip	Support-W002	Pass	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Maintenance coordinator
